選手ID,選手名,対局数,半荘数,総局数,総合ポイント,平均順位,1着数,2着数,3着数,4着数,トップ率,連対率,ラス回避率,平均得点,最高得点,平均ポイント,和了数,和了率,ツモ和了数,ロン和了数,ツモ和了率,平均和了点,最高和了点,平均翻,平均符,放銃数,放銃率,平均放銃点,副露局数,副露率,平均副露回数,立直局数,立直率,立直和了数,立直和了率,ダマ和了数,流局数,流局率,親局数,親番和了数,親番和了率,役満数,平均ドラ数,平均赤ドラ数,平均裏ドラ数,総局収支,平均局収支,最大局収支,最小局収支,解析済局数,判定保留局数,解析完了率,集計区分,年度,シーズン,最低得点,2着率,3着率,4着率,最大放銃点,放銃回避率,ダマ和了率,副露和了数,副露和了率,門前和了数,門前和了率,親番放銃数,親番放銃率,親平均収支,子平均収支
P0246,仇森龍,2,2,25,-10.7,2,1,0,1,0,50.0%,50.0%,100.0%,19650,33900,-5.35,4,16.0%,2,2,50.0%,7725,12000,3.75,32.5,6,24.0%,5233.333333,6,24.0%,2,8,32.0%,3,37.5%,1,4,16.0%,7,2,28.6%,0,0.75,0.75,0.5,-10700,-428,12000,-12300,25,0,100.0%,シーズン,2026,セミファイナル,5400,0.0%,50.0%,0.0%,12000,76.0%,25.0%,1,16.7%,3,15.8%,2,28.6%,-600,-361.1111111
P0249,橋本るり子,1,1,11,-13.1,3,0,0,1,0,0.0%,0.0%,100.0%,11900,11900,-13.1,3,27.3%,2,1,66.7%,7533.333333,12000,4.333333333,30,5,45.5%,5500,4,36.4%,3,4,36.4%,1,25.0%,2,0,0.0%,2,0,0.0%,0,0.3333333333,1,0,-13100,-1190.909091,12000,-9000,11,0,100.0%,シーズン,2026,セミファイナル,11900,0.0%,100.0%,0.0%,8000,54.5%,66.7%,2,50.0%,1,14.3%,1,50.0%,-4000,-566.6666667
P0255,元教室生タク,1,1,14,15.7,2,0,1,0,0,0.0%,100.0%,100.0%,40700,40700,15.7,4,28.6%,2,2,50.0%,5300,8000,3,30,0,0.0%,,5,35.7%,2.4,4,28.6%,3,75.0%,1,1,7.1%,3,1,33.3%,0,1,0,0.25,15700,1121.428571,9000,-3300,14,0,100.0%,シーズン,2026,セミファイナル,40700,100.0%,0.0%,0.0%,,100.0%,25.0%,1,20.0%,3,33.3%,0,0.0%,1300,1072.727273
P0258,公務員麻雀M,1,1,11,-18.4,4,0,0,0,1,0.0%,0.0%,0.0%,6600,6600,-18.4,0,0.0%,0,0,,,,,,3,27.3%,2700,4,36.4%,4,2,18.2%,0,0.0%,0,0,0.0%,2,0,0.0%,0,,,,-18400,-1672.727273,0,-4000,11,0,100.0%,シーズン,2026,セミファイナル,6600,0.0%,0.0%,100.0%,2900,72.7%,,0,0.0%,0,0.0%,1,50.0%,-3300,-1311.111111
P0259,溝渕智也,1,1,17,5.8,2,0,1,0,0,0.0%,100.0%,100.0%,30800,30800,5.8,5,29.4%,3,2,60.0%,5780,12000,3,36,2,11.8%,8000,6,35.3%,2.5,5,29.4%,2,40.0%,3,4,23.5%,6,3,50.0%,0,0,0.6,0.2,5800,341.1764706,12600,-8300,17,0,100.0%,シーズン,2026,セミファイナル,30800,100.0%,0.0%,0.0%,8000,88.2%,60.0%,3,50.0%,2,18.2%,1,16.7%,2150,-645.4545455
P0260,黒太郎@SMY会,2,2,20,-12.1,2.5,1,0,0,1,50.0%,50.0%,50.0%,18950,39000,-6.05,4,20.0%,1,3,25.0%,5950,8000,3.5,33.75,3,15.0%,8800,3,15.0%,1.666666667,6,30.0%,3,50.0%,1,2,10.0%,5,0,0.0%,0,0.75,0.3333333333,0,-12100,-605,9000,-12000,20,0,100.0%,シーズン,2026,セミファイナル,-1100,0.0%,0.0%,50.0%,12000,85.0%,25.0%,1,33.3%,3,17.6%,1,20.0%,-1400,-340
P0268,樹央,1,1,12,9.6,1,1,0,0,0,100.0%,100.0%,100.0%,34600,34600,9.6,2,16.7%,0,2,0.0%,7950,12000,3.5,35,0,0.0%,,5,41.7%,4,3,25.0%,2,66.7%,0,0,0.0%,3,1,33.3%,0,0.5,1,0.5,9600,800,13000,-3000,12,0,100.0%,シーズン,2026,セミファイナル,34600,0.0%,0.0%,0.0%,,100.0%,0.0%,0,0.0%,2,28.6%,0,0.0%,4333.333333,-377.7777778
P0275,小林宏康,1,1,10,-13.8,4,0,0,0,1,0.0%,0.0%,0.0%,11200,11200,-13.8,0,0.0%,0,0,,,,,,1,10.0%,8000,2,20.0%,2,2,20.0%,0,0.0%,0,1,10.0%,2,0,0.0%,0,,,,-13800,-1380,1500,-8300,10,0,100.0%,シーズン,2026,セミファイナル,11200,0.0%,0.0%,100.0%,8000,90.0%,,0,0.0%,0,0.0%,0,0.0%,-3000,-975
P0276,松崎真也,2,2,22,52.3,1,2,0,0,0,100.0%,100.0%,100.0%,51150,57200,26.15,7,31.8%,4,3,57.1%,8142.857143,18000,3.857142857,30,2,9.1%,1750,7,31.8%,2.714285714,4,18.2%,3,75.0%,4,3,13.6%,7,3,42.9%,0,0.7142857143,0.5714285714,0.2857142857,52300,2377.272727,19000,-2900,22,0,100.0%,シーズン,2026,セミファイナル,45100,0.0%,0.0%,0.0%,2000,90.9%,57.1%,4,57.1%,3,20.0%,1,14.3%,4785.714286,1253.333333
P0279,上野あいみ,2,2,24,6.6,2,1,0,1,0,50.0%,50.0%,100.0%,28300,35200,3.3,5,20.8%,3,2,60.0%,6900,12000,4.4,30,2,8.3%,5950,4,16.7%,2,4,16.7%,3,75.0%,2,4,16.7%,4,0,0.0%,0,0.2,0.6,0.6,6600,275,12000,-8600,24,0,100.0%,シーズン,2026,セミファイナル,21400,0.0%,50.0%,0.0%,8000,91.7%,40.0%,1,25.0%,4,20.0%,1,25.0%,-2475,825
P0283,青ヒゲ危機一髪,2,2,25,42.6,1,2,0,0,0,100.0%,100.0%,100.0%,46300,53800,21.3,9,36.0%,4,5,44.4%,5811.111111,12000,3.111111111,34.44444444,0,0.0%,,7,28.0%,2.285714286,9,36.0%,4,44.4%,5,4,16.0%,8,3,37.5%,0,0.6666666667,0.6666666667,0,42600,1704,12000,-4100,25,0,100.0%,シーズン,2026,セミファイナル,38800,0.0%,0.0%,0.0%,,100.0%,55.6%,5,71.4%,4,22.2%,0,0.0%,2362.5,1394.117647
P0288,赤哲,1,1,12,14.7,2,0,1,0,0,0.0%,100.0%,100.0%,39700,39700,14.7,3,25.0%,0,3,0.0%,5766.666667,8000,3.333333333,33.33333333,0,0.0%,,3,25.0%,3.333333333,3,25.0%,1,33.3%,2,1,8.3%,2,0,0.0%,0,1,0.5,0,14700,1225,8000,-2100,12,0,100.0%,シーズン,2026,セミファイナル,39700,100.0%,0.0%,0.0%,,100.0%,66.7%,2,66.7%,1,11.1%,0,0.0%,-500,1570
P0298,中出雄介,1,1,14,-3.8,2,0,1,0,0,0.0%,100.0%,100.0%,21200,21200,-3.8,2,14.3%,1,1,50.0%,5600,8000,2.5,35,2,14.3%,3650,8,57.1%,2.375,1,7.1%,0,0.0%,2,0,0.0%,3,0,0.0%,0,0,1,0,-3800,-271.4285714,8000,-4000,10,4,71.4%,シーズン,2026,セミファイナル,21200,100.0%,0.0%,0.0%,4000,85.7%,100.0%,1,12.5%,1,16.7%,0,0.0%,-166.6666667,-300
P0302,店長倍損の上司,1,1,14,-19.6,4,0,0,0,1,0.0%,0.0%,0.0%,5400,5400,-19.6,1,7.1%,0,1,0.0%,1500,1500,1,30,2,14.3%,4200,4,28.6%,4.25,1,7.1%,0,0.0%,1,1,7.1%,4,1,25.0%,0,0,0,0,-19600,-1400,2500,-6000,14,0,100.0%,シーズン,2026,セミファイナル,5400,0.0%,0.0%,100.0%,4500,85.7%,100.0%,1,25.0%,0,0.0%,0,0.0%,450,-2140
P0307,年賀状,1,1,14,-2.6,3,0,0,1,0,0.0%,0.0%,100.0%,22400,22400,-2.6,3,21.4%,3,0,100.0%,6666.666667,12000,4,26.66666667,2,14.3%,5950,5,35.7%,3,4,28.6%,1,25.0%,2,6,42.9%,2,0,0.0%,0,0.6666666667,1,0,-2600,-185.7142857,12000,-8000,14,0,100.0%,シーズン,2026,セミファイナル,22400,0.0%,100.0%,0.0%,8000,85.7%,66.7%,2,40.0%,1,11.1%,1,50.0%,-5300,666.6666667
P0312,魔王,1,1,10,-6.7,3,0,0,1,0,0.0%,0.0%,100.0%,18300,18300,-6.7,2,20.0%,1,1,50.0%,4100,5200,2.5,35,1,10.0%,6400,2,20.0%,4,3,30.0%,1,33.3%,1,2,20.0%,3,1,33.3%,0,0,1,0,-6700,-670,5200,-7400,10,0,100.0%,シーズン,2026,セミファイナル,18300,0.0%,100.0%,0.0%,6400,90.0%,50.0%,1,50.0%,1,12.5%,1,33.3%,-2166.666667,-28.57142857
P0316,黙示録@SMY会,2,2,23,50.1,1,2,0,0,0,100.0%,100.0%,100.0%,50050,61300,25.05,8,34.8%,2,6,25.0%,7062.5,12000,3.625,37.5,0,0.0%,,9,39.1%,2.777777778,6,26.1%,4,66.7%,4,5,21.7%,8,3,37.5%,0,0.625,1,0.25,50100,2178.26087,15300,-6300,23,0,100.0%,シーズン,2026,セミファイナル,38800,0.0%,0.0%,0.0%,,100.0%,50.0%,3,33.3%,5,35.7%,0,0.0%,2687.5,1906.666667
P0326,鰤トニー,2,2,28,6.5,3,0,1,0,1,0.0%,50.0%,50.0%,28250,44600,3.25,6,21.4%,1,5,16.7%,3900,8000,2.833333333,31.66666667,0,0.0%,,12,42.9%,2.916666667,5,17.9%,4,80.0%,2,5,17.9%,7,2,28.6%,0,0.5,0.3333333333,0,6500,232.1428571,8000,-6000,28,0,100.0%,シーズン,2026,セミファイナル,11900,50.0%,0.0%,50.0%,,100.0%,33.3%,2,16.7%,4,25.0%,0,0.0%,1371.428571,-147.6190476
P0397,ダイゴ＠LA,2,2,22,-61.7,4,0,0,0,2,0.0%,0.0%,0.0%,-5850,1100,-30.85,0,0.0%,0,0,,,,,,5,22.7%,4200,4,18.2%,4,5,22.7%,0,0.0%,0,4,18.2%,4,0,0.0%,0,,,,-61700,-2804.545455,1500,-18300,22,0,100.0%,シーズン,2026,セミファイナル,-12800,0.0%,0.0%,100.0%,8000,77.3%,,0,0.0%,0,0.0%,1,25.0%,-3050,-2750
P0303,田口淳之介,2,2,29,81.698,1.5,1,1,0,0,50.0%,100.0%,100.0%,65849,106398,40.849,6,20.7%,2,4,33.3%,8166.666667,12000,4.5,31.66666667,4,13.8%,6400,8,27.6%,3.25,5,17.2%,3,60.0%,3,5,17.2%,4,0,0.0%,0,1,1,0,81698,2817.172414,97098,-16100,29,0,100.0%,シーズン,2026,セミファイナル,25300,50.0%,0.0%,0.0%,12000,86.2%,50.0%,2,25.0%,4,19.0%,1,25.0%,-3000,3747.92
P0002,。☆悠紀子☆。,1,1,12,-0.8,2,0,1,0,0,0.0%,100.0%,100.0%,24200,24200,-0.8,4,33.3%,2,2,50.0%,2550,5200,2,27.5,2,16.7%,2050,4,33.3%,3.75,2,16.7%,1,50.0%,3,0,0.0%,3,1,33.3%,0,0.5,0,0,-800,-66.66666667,5200,-4000,12,0,100.0%,シーズン,2026,セミファイナル,24200,100.0%,0.0%,0.0%,2600,83.3%,75.0%,2,50.0%,2,25.0%,0,0.0%,-1266.666667,333.3333333
P0023,dia,1,1,9,13.2,2,0,1,0,0,0.0%,100.0%,100.0%,38200,38200,13.2,3,33.3%,2,1,66.7%,5266.666667,8000,3.666666667,26.66666667,0,0.0%,,4,44.4%,2,2,22.2%,2,100.0%,1,4,44.4%,2,0,0.0%,0,0,0.6666666667,0,13200,1466.666667,8000,-1500,9,0,100.0%,シーズン,2026,セミファイナル,38200,100.0%,0.0%,0.0%,,100.0%,33.3%,1,25.0%,2,40.0%,0,0.0%,-1250,2242.857143
P0015,aimoni,1,1,17,-23.6,2,0,1,0,0,0.0%,100.0%,100.0%,1400,1400,-23.6,1,5.9%,1,0,100.0%,12000,12000,4,30,0,0.0%,,6,35.3%,3.166666667,2,11.8%,1,50.0%,0,3,17.6%,4,1,25.0%,0,1,0,0,-23600,-1388.235294,12000,-16100,17,0,100.0%,シーズン,2026,セミファイナル,1400,100.0%,0.0%,0.0%,,100.0%,0.0%,0,0.0%,1,9.1%,0,0.0%,575,-1992.307692
P0146,とむとむ,1,1,17,-29.7,4,0,0,0,1,0.0%,0.0%,0.0%,-4700,-4700,-29.7,4,23.5%,2,2,50.0%,4700,8000,3,30,1,5.9%,12000,7,41.2%,2.285714286,4,23.5%,3,75.0%,1,3,17.6%,5,2,40.0%,0,0.75,0.5,0,-29700,-1747.058824,8300,-16100,17,0,100.0%,シーズン,2026,セミファイナル,-4700,0.0%,0.0%,100.0%,12000,94.1%,25.0%,1,14.3%,3,30.0%,1,20.0%,-820,-2133.333333
P0078,えんがわ,1,1,10,-10.5,4,0,0,0,1,0.0%,0.0%,0.0%,14500,14500,-10.5,1,10.0%,0,1,0.0%,2600,2600,2,40,2,20.0%,2700,1,10.0%,6,3,30.0%,1,33.3%,0,3,30.0%,2,0,0.0%,0,0,0,0,-10500,-1050,3900,-4000,10,0,100.0%,シーズン,2026,セミファイナル,14500,0.0%,0.0%,100.0%,3900,80.0%,0.0%,0,0.0%,1,11.1%,0,0.0%,-3300,-487.5
